"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1692076809928",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Backspace",,,"1692076939807","Pipfile","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","[[source]]
url = ""https://pypi.org/simple""
verify_ssl = true
name = ""pypi""

[packages]
django = ""*""
djangorestframework = ""*""
django-filter = ""*""

[dev-packages]

[requires]
python_version = ""3.""
","","0","1692076939866","Pipfile","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1692076939946","Pipfile","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",".","193","1692076939955","Pipfile","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1692076940126","Pipfile","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","3","192","1692076940137","Pipfile","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","*","","192","1692076940976","Pipfile","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","*",,"193","1692076940990","Pipfile","1.1.5 for 2021-2022 @t1",,"*",,,,,
"X-Action","Reload From Disk",,,"1692077059973","Pipfile","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"File.Edit","{
    ""_meta"": {
        ""hash"": {
            ""sha256"": ""503feffd5af12411b805ed0ef6b785332e88364d95c4c2d08a31f7c06cead6b6""
        },
        ""pipfile-spec"": 6,
        ""requires"": {
            ""python_version"": ""*""
        },
        ""sources"": [
            {
                ""name"": ""pypi"",
                ""url"": ""https://pypi.org/simple"",
                ""verify_ssl"": true
            }
        ]
    },
    ""default"": {
        ""asgiref"": {
            ""hashes"": [
                ""sha256:89b2ef2247e3b562a16eef663bc0e2e703ec6468e2fa8a5cd61cd449786d4f6e"",
                ""sha256:9e0ce3aa93a819ba5b45120216b23878cf6e8525eb3848653452b4192b92afed""
            ],
            ""markers"": ""python_version >= '3.7'"",
            ""version"": ""==3.7.2""
        },
        ""django"": {
            ""hashes"": [
                ""sha256:7e4225ec065e0f354ccf7349a22d209de09cc1c074832be9eb84c51c1799c432"",
                ""sha256:860ae6a138a238fc4f22c99b52f3ead982bb4b1aad8c0122bcd8c8a3a02e409d""
            ],
            ""index"": ""pypi"",
            ""version"": ""==4.2.4""
        },
        ""django-filter"": {
            ""hashes"": [
                ""sha256:2fe15f78108475eda525692813205fa6f9e8c1caf1ae65daa5862d403c6dbf00"",
                ""sha256:d12d8e0fc6d3eb26641e553e5d53b191eb8cec611427d4bdce0becb1f7c172b5""
            ],
            ""index"": ""pypi"",
            ""version"": ""==23.2""
        },
        ""djangorestframework"": {
            ""hashes"": [
                ""sha256:579a333e6256b09489cbe0a067e66abe55c6595d8926be6b99423786334350c8"",
                ""sha256:eb63f58c9f218e1a7d064d17a70751f528ed4e1d35547fdade9aaf4cd103fd08""
            ],
            ""index"": ""pypi"",
            ""version"": ""==3.14.0""
        },
        ""pytz"": {
            ""hashes"": [
                ""sha256:1d8ce29db189191fb55338ee6d0387d82ab59f3d00eac103412d64e0ebd0c588"",
                ""sha256:a151b3abb88eda1d4e34a9814df37de2a80e301e68ba0fd856fb9b46bfbbbffb""
            ],
            ""version"": ""==2023.3""
        },
        ""sqlparse"": {
            ""hashes"": [
                ""sha256:5430a4fe2ac7d0f93e66f1efc6e1338a41884b7ddf2a350cedd20ccc4d9d28f3"",
                ""sha256:d446183e84b8349fa3061f0fe7f06ca94ba65b426946ffebe6e3e8295332420c""
            ],
            ""markers"": ""python_version >= '3.5'"",
            ""version"": ""==0.4.4""
        },
        ""tzdata"": {
            ""hashes"": [
                ""sha256:11ef1e08e54acb0d4f95bdb1be05da659673de4acbd21bf9c69e94cc5e907a3a"",
                ""sha256:7e65763eef3120314099b6939b5546db7adce1e7d6f2e179e3df563c70511eda""
            ],
            ""markers"": ""sys_platform == 'win32'"",
            ""version"": ""==2023.3""
        }
    },
    ""develop"": {}
}
","","0","1692077059978","Pipfile.lock","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Deleting file Pipfile.lock",,,"1692077062531","Pipfile","1.1.5 for 2021-2022 @t1",,"Deleting file Pipfile.lock",,,,,
"X-Action","Deleting file 0001_initial.py, file 0002_auto_20220427_0155.py, file 0003_rename_url_business_website.py, file 0004_alter_review_stars.py, file 0005_auto_20220525_1556.py, file 0006_rename_business_review_business.py",,,"1692077164571","Pipfile","1.1.5 for 2021-2022 @t1",,"Deleting file 0001_initial.py, file 0002_auto_20220427_0155.py, file 0003_rename_url_business_website.py, file 0004_alter_review_stars.py, file 0005_auto_20220525_1556.py, file 0006_rename_business_review_business.py",,,,,
"X-Action","Up",,,"1692077223088","Pipfile","1.1.5 for 2021-2022 @t1",,"Up",,,,,
